Date,Close,High,Low,Open,Volume,simple_return_o2c,log_return_o2c,squared_return,abs_return
2023-08-02,19526.55078,19678.25,19423.55078,19655.40039,290700,-0.0065554304386264,-0.0065770116404938,4.3257082119190946e-05,0.0065770116404938
2023-08-03,19381.65039,19537.65039,19296.44922,19463.75,315700,-0.0042180777085608,-0.0042269988940123,1.7867519649981208e-05,0.0042269988940123
2023-08-04,19517.0,19538.84961,19436.44922,19462.80078,280800,0.0027847595324355,0.0027808892731048,7.733345149269342e-06,0.0027808892731048
2023-08-07,19597.30078,19620.44922,19524.80078,19576.84961,216600,0.0010446609340837,0.0010441156555711,1.090177502208668e-06,0.0010441156555711
2023-08-08,19570.84961,19634.40039,19533.09961,19627.19922,260300,-0.0028709959769795,-0.002875125191128,8.266344864658818e-06,0.002875125191128
2023-08-09,19632.55078,19645.5,19467.5,19578.80078,266500,0.0027453162532256,0.002741554755322,7.516122476428671e-06,0.002741554755322
2023-08-10,19543.09961,19623.59961,19495.40039,19605.55078,312200,-0.0031853820737189,-0.003190466202663,1.0179074590334863e-05,0.003190466202663
2023-08-11,19428.30078,19557.75,19412.75,19554.25,235500,-0.0064410151245891,-0.0064618479671241,4.175547915022587e-05,0.0064618479671241
2023-08-14,19434.55078,19465.84961,19257.90039,19383.94922,243900,0.0026104876475734,0.0026070862429582,6.796898678221904e-06,0.0026070862429582
2023-08-17,19365.25,19461.55078,19326.25,19450.55078,268700,-0.0043855200279321,-0.0043951646289464,1.9317472115541548e-05,0.0043951646289464
2023-08-18,19310.15039,19373.80078,19253.59961,19301.75,256100,0.0004352139054748,0.0004351192273722,1.8932874202898026e-07,0.0004351192273722
2023-08-21,19393.59961,19425.94922,19296.30078,19320.65039,262600,0.003775712438633,0.003768602327959,1.4202363506297995e-05,0.003768602327959
2023-08-22,19396.44922,19443.5,19381.30078,19417.09961,208700,-0.0010635156853893,-0.0010640816194846,1.1322696929249692e-06,0.0010640816194846
2023-08-23,19444.0,19472.05078,19366.59961,19439.19922,225200,0.0002469638767352,0.000246933386177,6.097609720883942e-08,0.000246933386177
2023-08-24,19386.69922,19584.44922,19369.0,19535.15039,268300,-0.0075991823475284,-0.0076282032506108,5.8189484832629185e-05,0.0076282032506108
2023-08-25,19265.80078,19339.55078,19229.69922,19297.40039,466500,-0.001637506055809,-0.0016388482342674,2.685823534961375e-06,0.0016388482342674
2023-08-28,19306.05078,19366.84961,19249.69922,19298.34961,248200,0.0003990584767936,0.0003989788741364,1.5918414200714932e-07,0.0003989788741364
2023-08-29,19342.65039,19377.90039,19309.09961,19374.84961,307400,-0.0016619081256447,-0.0016632906268927,2.7665357095091112e-06,0.0016632906268927
2023-08-30,19347.44922,19452.80078,19334.75,19433.44922,233000,-0.0044253595451029,-0.0044351804333392,1.9670825476274893e-05,0.0044351804333392
2023-08-31,19253.80078,19388.19922,19223.65039,19375.55078,562600,-0.00628369233899,-0.0063035178288502,3.973433701863234e-05,0.0063035178288502
2023-09-01,19435.30078,19458.55078,19255.69922,19258.15039,333000,0.0091987229517114,0.0091566723774166,8.384464902734419e-05,0.0091566723774166
2023-09-04,19528.80078,19545.15039,19432.84961,19525.05078,296800,0.0001920609601611,0.0001920425188161,3.688032903323212e-08,0.0001920425188161
2023-09-05,19574.90039,19587.05078,19525.75,19564.65039,256800,0.0005239040716638,0.0005237668818397,2.743317465120822e-07,0.0005237668818397
2023-09-06,19611.05078,19636.44922,19491.5,19581.19922,287600,0.0015245011127567,0.0015233402406194,2.3205654886903717e-06,0.0015233402406194
2023-09-07,19727.05078,19737.0,19550.05078,19598.65039,304900,0.0065514914264461,0.006530123682775,4.264251531233893e-05,0.006530123682775
2023-09-08,19819.94922,19867.15039,19727.05078,19774.80078,288100,0.0022831299542425,0.002280527573345,5.200806012786835e-06,0.002280527573345
2023-09-11,19996.34961,20008.15039,19865.34961,19890.0,248800,0.0053468883861236,0.0053326445293991,2.8437097676930152e-05,0.0053326445293991
2023-09-12,19993.19922,20110.34961,19914.65039,20110.15039,328100,-0.0058155293586543,-0.0058325053979474,3.4018119217085556e-05,0.0058325053979474
2023-09-13,20070.0,20096.90039,19944.09961,19989.5,251400,0.0040271142349732,0.004019027115009,1.6152578951177567e-05,0.004019027115009
2023-09-14,20103.09961,20167.65039,20043.44922,20127.94922,275100,-0.0012345823078342,-0.0012353450324004,1.5260773490763452e-06,0.0012353450324004
2023-09-15,20192.34961,20222.44922,20129.69922,20156.44922,438200,0.0017810870162777,0.0017795027616492,3.1666300787171294e-06,0.0017795027616492
2023-09-18,20133.30078,20195.34961,20115.69922,20155.94922,264900,-0.001123660302613,-0.0011242920821655,1.2640326860200352e-06,0.0011242920821655
2023-09-20,19901.40039,20050.65039,19878.84961,19980.75,378100,-0.0039713028790211,-0.0039792094421464,1.5834107784467066e-05,0.0039792094421464
2023-09-21,19742.34961,19848.75,19709.94922,19840.55078,275100,-0.00494951834195,-0.0049618077758142,2.4619536404130257e-05,0.0049618077758142
2023-09-22,19674.25,19798.65039,19657.5,19744.84961,246400,-0.0035755962387399,-0.0035820039618181,1.2830752382480563e-05,0.0035820039618181
2023-09-25,19674.55078,19734.15039,19601.55078,19678.19922,188400,-0.0001854051765208,-0.0001854223661853,3.4381453881755485e-08,0.0001854223661853
