lag,acf_return,acf_return_ci_low,acf_return_ci_high,pacf_return,pacf_return_ci_low,pacf_return_ci_high,acf_squared_return,acf_squared_return_ci_low,acf_squared_return_ci_high,pacf_squared_return,pacf_squared_return_ci_low,pacf_squared_return_ci_high,acf_abs_return,acf_abs_return_ci_low,acf_abs_return_ci_high,pacf_abs_return,pacf_abs_return_ci_low,pacf_abs_return_ci_high
13,-0.030306522820929757,-0.06903856576582565,0.008425520123966142,-0.027145970329042257,-0.06507681031424188,0.010784869656157367,0.10364221655997871,0.044170958226038524,0.1631134748939189,-0.005073211812915405,-0.04300405179811503,0.03285762817228422,0.11830351865592066,0.06522104087960878,0.17138599643223254,0.0004994468315354921,-0.03743139315366413,0.03843028681673512
14,-0.027260206120874483,-0.06602635230124682,0.011505940059497854,-0.0280689048208421,-0.06599974480604173,0.009861935164357523,0.10552872152786903,0.045798161460018694,0.16525928159571937,0.04648371662258125,0.008552876637381628,0.08441455660778088,0.1349781194397542,0.08151764712731024,0.18843859175219818,0.022755908165763877,-0.015174931819435748,0.060686748150963504
15,0.023154495590208542,-0.015639220551527205,0.061948211731944286,0.016072202976876594,-0.02185863700832303,0.05400304296207622,0.09163260168971334,0.03163439746306005,0.15163080591636663,0.03361938143118369,-0.0043114585540159345,0.07155022141638331,0.1165767907538179,0.06262822739036492,0.17052535411727088,0.009793822950812783,-0.02813701703438684,0.04772466293601241
16,0.02087392717603242,-0.01793966743461264,0.05968752178667748,0.01704206240438195,-0.020888777580817672,0.05497290238958158,0.0779784286312312,0.017779213412243373,0.13817764385021902,-0.002749204998758246,-0.04068004498395787,0.035181634986441376,0.12318073899098966,0.06887095071294982,0.1774905272690295,0.025645014686783468,-0.012285825298416157,0.0635758546719831
17,0.016111333538636335,-0.022718409083527735,0.054941076160800406,0.028494179383911095,-0.009436660601288529,0.06642501936911072,0.04840597655431018,-0.011938389581981443,0.1087503426906018,-0.04531881496219645,-0.08324965494739608,-0.007387974976996829,0.12153010024915091,0.06681981975918458,0.17624038073911724,0.02126476733876558,-0.016666072646434046,0.0591956073239652
18,-0.00760932997797897,-0.0464486893785588,0.03123002942260086,0.00407205391460304,-0.033858786070596586,0.04200289389980266,0.04258588895095449,-0.01781431716754498,0.10298609506945397,-0.010944594508120737,-0.04887543449332036,0.02698624547707889,0.10058640715283201,0.04548909165888157,0.15568372264678246,-0.004471143546439093,-0.042401983531638716,0.03345969643876053
19,0.0038926067559193664,-0.034948897478763515,0.04273411099060225,-1.1430144095487738e-05,-0.03794227012929511,0.03791940984110414,0.05556839152589897,-0.004874998576947252,0.1160117816287452,0.023231098585719572,-0.014699741399480052,0.0611619385709192,0.10266763330324001,0.047306748072172715,0.1580285185343073,0.005669847760948676,-0.032260992224250946,0.0436006877461483
20,0.0469205868469279,0.008078521348737086,0.08576265234511872,0.04393447933879162,0.006003639353591994,0.08186531932399124,0.014807651981186448,-0.045709194234336135,0.07532449819670903,-0.02503631370551312,-0.06296715369071275,0.012894526279686503,0.04505401143131596,-0.01058013531816341,0.10068815818079532,-0.05708188185744101,-0.09501272184264063,-0.019151041872241384
21,-0.0038252773131658944,-0.0427488046671753,0.03509825004084352,0.002539341396558934,-0.03539149858864069,0.040470181381758556,0.024040166817399674,-0.0364818920932755,0.08456222572807484,-0.004669872847535867,-0.04260071283273549,0.03326096713766376,0.06777068481992411,0.01208406872186156,0.12345730091798666,-0.004520841888650298,-0.04245168187384992,0.03340999809654933
22,0.02721631951210118,-0.011707748715232277,0.06614038773943463,0.038829232220157196,0.0008983922349575721,0.07676007220535683,0.03098755848815988,-0.029548237580593877,0.09152335455691363,-0.003839851741671691,-0.04177069172687131,0.03409098824352794,0.10151441314942622,0.045709259526243974,0.15731956677260847,0.04017997063760251,0.0022491306524028837,0.07811081062280213
23,-0.019332207297650766,-0.05828364540052623,0.019619230805224697,-0.010056819227907599,-0.04798765921310722,0.027874020757292027,0.021409173540638027,-0.039149439895840285,0.08196778697711633,0.007464682756783664,-0.03046615722841596,0.04539552274198329,0.06010560250031731,0.004035393951861498,0.11617581104877311,-0.009461110163811435,-0.047391950149011056,0.02846972982138819
24,-0.002612966400859473,-0.041578206673759555,0.03635227387204061,-0.0039821408908000365,-0.041912980875999664,0.033948699094399584,0.030755414173947122,-0.029814087805295472,0.09132491615318972,0.005134323806537143,-0.03279651617866248,0.04306516379173677,0.07308642733307229,0.016923594664628963,0.1292492600015156,0.009224219560964333,-0.02870662042423529,0.04715505954616396
25,0.022485561119430807,-0.016479931254027795,0.06145105349288941,0.027966015081498107,-0.009964824903701517,0.06589685506669773,0.020987736805148944,-0.03960422950813974,0.08157970311843762,0.024965459334202942,-0.012965380650996682,0.06289629931940256,0.0725794930093182,0.0162799877980385,0.1288789982205979,0.008099830662185574,-0.02983100932301405,0.0460306706473852
26,-0.021610456478585886,-0.06059461300188347,0.0173737000447117,-0.01742139490940502,-0.05535223489460464,0.020509445075794604,0.036345553729806794,-0.024256870944137074,0.09694797840375066,0.035536441856958596,-0.002394398128241028,0.07346728184215823,0.08656107033883258,0.030127106119228836,0.14299503455843632,0.030144591570423148,-0.007786248414776476,0.06807543155562278
27,-0.026026572374382634,-0.06502796061998775,0.012974815871222484,-0.024427688790359364,-0.06235852877555899,0.01350315119484026,0.03312774478488978,-0.027506033327122988,0.09376152289690254,0.0040414109380542546,-0.03388942904714537,0.04197225092325388,0.08161668801921558,0.024992021280517397,0.13824135475791377,0.014827704767245053,-0.02310313521795457,0.05275854475244468
28,-0.013382176784756346,-0.052408545451001626,0.025644191881488934,-0.01458563787173195,-0.05251647785693157,0.023345202113467675,0.054102203456814636,-0.006557609848372545,0.11476201676200182,0.04262264439038665,0.004691804405187024,0.08055348437558627,0.09180663828208613,0.03501297042255634,0.1486003061416159,0.030720037370396493,-0.007210802614803131,0.06865087735559612
29,0.019161586688714843,-0.019871383491907216,0.0581945568693369,0.008749098707196803,-0.02918174127800282,0.04667993869239643,0.022214058809846046,-0.03851513947218673,0.08294325709187883,-0.028005776191010162,-0.06593661617620979,0.009925063794189462,0.05834608478881126,0.0013392994382897053,0.11535287013933282,-0.005023652862054773,-0.042954492847254395,0.03290718712314485
